mental_rot,log_contrast,log_motion,Sex,Masculine_hobbies
28,-1.7975262224739177,-2.2902536457347216,Female,3.2
15,-1.469374679832805,-2.2169448108963197,Female,3.6
30,-1.9159717940647671,-2.310970582495449,Male,4.8
24,-1.7249625664967982,-2.7340307611734653,Female,2.73333333333333
28,-1.712252141448211,-2.1357896979902558,Female,2.86666666666667
21,-1.9681839422896255,-1.7753496733027823,Female,3.33333333333333
28,-1.8129314346892937,-2.3671031637161595,Female,2.66666666666667
35,-1.6511366133353456,-2.45782220983238,Female,2.53333333333333
30,-1.9174077846903101,-2.225205703937761,Female,2.8
36,-1.895815231530193,-2.346884360249863,Female,2.86666666666667
16,-1.5452397468865833,-2.2522471823603736,Female,2.6
27,-1.9415882609301476,-2.3615516319812584,Female,3
33,-1.7817018046881214,-2.3005180434523287,Female,3.4
23,-1.7894677810095423,-2.380751799606296,Female,4.06666666666667
25,-1.8091697238730344,-2.2097629588461505,Female,2.8
25,-1.8839248113985505,-2.6180849280804455,Male,4.4
20,-1.8953309438864847,-2.406745762875401,Female,2.86666666666667
18,-1.818740471113026,-2.0659653248402594,Female,1.66666666666667
37,-1.7782898887967216,-2.6793770006030306,Male,4.2
28,-1.8883674957412973,-2.3161305970120174,Female,3.66666666666667
36,-1.955628679059922,-2.628290459604377,Male,3.26666666666667
40,-1.927161272511261,-2.633668357475088,Male,3.33333333333333
33,-1.7599298383198834,-2.434273492405289,Male,3.26666666666667
30,-1.7489278814214528,-2.2123912622931514,Female,2.66666666666667
24,-1.5233753500675147,-2.431579873581824,Female,2.86666666666667
28,-1.9018094580330809,-2.5245441865101843,Male,3.13333333333333
26,-1.7935740766127364,-2.328109875721252,Female,3.53333333333333
26,-1.8983819027092361,-2.6516084674547407,Male,3.53333333333333
27,-1.8111866859568013,-2.546075772729113,Female,3.73333333333333
40,-1.8600123927267869,-2.606112960184206,Male,3.53333333333333
20,-1.7559606543142385,-2.3240275025540376,Female,2.93333333333333
28,-1.7130528142572565,-2.7683761031978795,Male,3.86666666666667
31,-1.7989980882577725,-2.4183889481731597,Female,2.33333333333333
30,-1.7873041954116973,-2.4532493024557285,Female,4.2
26,-1.9423085940801221,-2.337072231021058,Female,2.4
27,-1.3280932353114991,-2.1691388854569023,Female,1.86666666666667
23,-1.5196197591087948,-2.3726631212738103,Female,2.66666666666667
26,-1.9027218314092995,-1.8795994415190709,Female,2.86666666666667
15,-1.5171754386773306,-1.9244041545573356,Female,1.8
25,-1.831747030418267,-2.272811251026958,Female,2.46666666666667
33,-1.8539335014492233,-2.521799421366148,Female,3.33333333333333
25,-1.8869471908831381,-2.6021779918714327,Male,3.46666666666667
21,-1.8506954873915489,-2.36684575434253,Male,4.26666666666667
27,-1.8415038955843144,-2.023625533272037,Female,3
40,-1.774264505238295,-2.4732232618221293,Female,2.13333333333333
26,-1.8269101384795905,-2.394316613842429,Female,2.93333333333333
39,-1.8763272069434282,-2.311410973042244,Female,2.66666666666667
32,-1.70724330594428,-2.324609028725032,Female,2.73333333333333
27,-1.7957467840061943,-2.41209841688014,Female,2.8
32,-1.9064232732377886,-2.4827848047051058,Female,2.66666666666667
35,-1.8014873970158833,-2.333332337406091,Female,2.8
28,-1.8103375075692385,-2.1380072946190545,Female,3
24,-1.5311645611202738,-2.438182129370434,Female,2.93333333333333
26,-1.894596815632708,-2.366367888784769,Female,3.06666666666667
28,-1.8484009409550715,-2.0456404940782487,Female,3.53333333333333
19,-1.7955110310523001,-2.4041527476274145,Female,2.26666666666667
23,-1.8311808280291235,-2.415841286030213,Female,2.93333333333333
38,-1.7998505813403822,-2.3212303783339983,Male,3.86666666666667
21,-1.9082671649793859,-1.9577231623676463,Female,3.26666666666667
18,-1.9310340481648807,-2.3256755577490065,Male,3.46666666666667
37,-1.8924425339241464,-2.2131910123385956,Male,3.2
34,-1.697969942370409,-2.1272108261755744,Female,2.26666666666667
28,-1.3688728155437728,-2.3397797094217787,Female,3.13333333333333
27,-1.3271532493256033,-2.5002007713395766,Female,2.06666666666667
23,-1.9427730998656654,-2.238095952109853,Female,2.26666666666667
30,-1.7459340894958773,-2.353263737625562,Male,3.2
23,-1.8505908352518128,-2.6876814194531775,Male,3.46666666666667
27,-1.8377145046171444,-2.6842546736354116,Male,3.2
18,-1.715949038547171,-2.0687231503415315,Female,2.8
27,-1.747065661459029,-2.4256944317847133,Male,4.13333333333333
21,-1.861858874108622,-2.784809329332037,Male,3.4
28,-1.8101287324343454,-2.38537397531202,Female,3.06666666666667
32,-1.8889391388176675,-2.4438959364282633,Female,2.86666666666667
34,-1.7100924059020253,-2.057057245960057,Female,3.06666666666667
29,-1.606253538941244,-2.2860548252355737,Female,3.73333333333333
18,-1.3888125830363653,-1.6205032226831388,Female,3
36,-1.9562027348440316,-2.3015943968554033,Male,4.13333333333333
39,-1.757748950952151,-1.7522292986006138,Male,3.73333333333333
26,-1.5226354898437335,-2.2616490787017764,Female,1.93333333333333
24,-1.8870213453453666,-2.4424348874302177,Female,2.93333333333333
30,-1.870771120848369,-2.430015562432909,Female,2.8
26,-1.9167959601242246,-2.6531270563878038,Female,3.26666666666667
28,-1.8867173291109773,-2.375055855744958,Female,2.8
21,-1.845751873315318,-2.165438447505457,Female,2.93333333333333
19,-1.309052853490733,-2.056965701635703,Female,2.53333333333333
15,-1.8161674694002965,-2.4587908978416797,Female,3.06666666666667
18,-1.8903383731198753,-2.268448718451725,Female,3.13333333333333
27,-1.6854365815386723,-2.2225457987605934,Female,2.73333333333333
17,-1.8039615168992034,-2.3599083522149447,Female,3.4
18,-1.644141400965791,-2.4335720526195344,Female,2.46666666666667
39,-1.9335704024769431,-2.5277993317977394,Female,2.4
26,-1.598229720478005,-2.65232454669797,Male,3.93333333333333
28,-1.7601608219854272,-2.5914669536591464,Male,3.93333333333333
37,-1.7132223024742486,-2.4252816021523596,Female,3.93333333333333
29,-1.9667612028867687,-2.5491200144547856,Male,2.33333333333333
32,-1.6018850929970077,-2.182314330830074,Female,2.46666666666667
26,-1.8168145380989689,-2.3991176001215107,Female,3.06666666666667
29,-1.9122287189485485,-2.281987115500979,Female,2.13333333333333
21,-1.6170270079597002,-2.32357699634229,Female,2.86666666666667
30,-1.4235833637198785,-2.492176759581824,Female,2.2
20,-1.9116534079226644,-2.314139280809025,Female,2.2
32,-1.963669418352777,-2.30952850953473,Female,3.33333333333333
24,-1.5905794321045232,-1.9878124294965491,Female,2.8
26,-1.7978645714620733,-2.4037629815417523,Male,3.93333333333333
18,-1.5555363517969065,-1.7106089886096787,Female,3.8
30,-1.7055995249123617,-2.346090695099136,Female,2.46666666666667
32,-1.7962444618498814,-2.29024243764094,Female,2.8
29,-1.9115099938816058,-2.4983090095923512,Male,3.46666666666667
28,-1.9448585943950099,-2.3328273104977417,Female,2.33333333333333
34,-1.766186697893774,-2.364477658273361,Female,1.66666666666667
21,-1.7800785962877748,-0.8629818705394806,Female,3.46666666666667
30,-1.9223575660582262,-2.4647834826170523,Female,2.46666666666667
30,-1.8621408631075855,-2.4137881476989804,Male,3.46666666666667
19,-1.7397066631481475,-1.4390090539692144,Female,2.4
37,-1.9656512309011822,-2.341669880486077,Female,3.13333333333333
19,-1.8040604958076472,-2.4507545366097165,Female,3.46666666666667
24,-1.7951535581392994,-2.2914849093228464,Female,2.53333333333333
36,-1.6444559222342021,-2.206272254171289,Female,2.26666666666667
27,-1.82396647337397,-2.5157487331651196,Female,3.4
21,-1.299613072004864,-1.6714686454102536,Male,3.66666666666667
23,-1.4833657715256265,-2.0817769002148805,Female,2.73333333333333
36,-1.9392197320538562,-2.1944559483828385,Male,3.13333333333333
27,-1.703492164477698,-2.4129994026608332,Female,2.66666666666667
20,-1.3794265538177028,-2.3975724690436735,Female,2.6
25,-1.282999139783031,-2.178706760183213,Female,2.33333333333333
